action_xmlid,ref_type,ref_name,ref_xmlid,ref_source,view_id,view_name,view_model,button_name_raw,button_type,groups_raw
base.action_res_users,menu,Users,base.menu_action_res_users,"ir.actions.act_window,69",,,,,,
base_setup.action_general_configuration,menu,General Settings,base_setup.menu_config,"ir.actions.act_window,84",,,,,,
account.action_account_config,menu,Settings,account.menu_account_config,"ir.actions.act_window,278",,,,,,
project.project_config_settings_action,menu,Settings,project.project_config_settings_menu_action,"ir.actions.act_window,321",,,,,,
stock.stock_picking_type_action,menu,Overview,stock.stock_picking_type_menu,"ir.actions.act_window,396",,,,,,
stock.action_stock_config_settings,menu,Settings,stock.menu_stock_general_settings,"ir.actions.act_window,412",,,,,,
purchase.purchase_rfq,menu,Requests for Quotation,purchase.menu_purchase_rfq,"ir.actions.act_window,429",,,,,,
purchase.action_purchase_configuration,menu,Settings,purchase.menu_purchase_general_settings,"ir.actions.act_window,436",,,,,,
base.grant_menu_access,menu,Menu Items,base.menu_grant_menu_access,"ir.actions.act_window,29",,,,,,
base.res_lang_act_window,menu,Languages,base.menu_res_lang_act_window,"ir.actions.act_window,53",,,,,,
onboarding.action_view_onboarding_onboarding,menu,Onboardings,onboarding.menu_onboarding,"ir.actions.act_window,90",,,,,,
onboarding.action_view_onboarding_step,menu,Onboardings Steps,onboarding.menu_onboarding_step,"ir.actions.act_window,91",,,,,,
resource.action_resource_calendar_form,menu,Working Schedules,resource.menu_resource_calendar,"ir.actions.act_window,98",,,,,,
mail.action_view_mail_mail,menu,Emails,mail.menu_mail_mail,"ir.actions.act_window,110",,,,,,
mail.action_view_mail_message,menu,Messages,mail.menu_mail_message,"ir.actions.act_window,108",,,,,,
privacy_lookup.privacy_log_action,menu,Privacy Logs,privacy_lookup.pricacy_log_menu,"ir.actions.act_window,160",,,,,,
sms.sms_sms_action,menu,SMS,sms.sms_sms_menu,"ir.actions.act_window,199",,,,,,
account.action_move_out_invoice_type,menu,Invoices,account.menu_action_move_out_invoice_type,"ir.actions.act_window,248",,,,,,
account.action_move_in_invoice_type,menu,Bills,account.menu_action_move_in_invoice_type,"ir.actions.act_window,250",,,,,,
account.action_account_invoice_report_all,menu,Invoice Analysis,account.menu_action_account_invoice_report_all,"ir.actions.act_window,275",,,,,,
account.action_payment_term_form,menu,Payment Terms,account.menu_action_payment_term_form,"ir.actions.act_window,267",,,,,,
project.open_view_project_all,menu,Projects,project.menu_projects,"ir.actions.act_window,302",,,,,,
project.open_view_project_all_group_stage,menu,Projects,project.menu_projects_group_stage,"ir.actions.act_window,303",,,,,,
stock.action_warehouse_form,menu,Warehouses,stock.menu_action_warehouse_form,"ir.actions.act_window,375",,,,,,
stock.product_template_action_product,menu,Products,stock.menu_product_variant_config_stock,"ir.actions.act_window,400",,,,,,
product.product_supplierinfo_type_action,menu,Vendor Pricelists,purchase.menu_product_pricelist_action2_purchase,"ir.actions.act_window,176",,,,,,
smart_construction_core.action_project_initiation,menu,项目立项,smart_construction_core.menu_sc_project_initiation,"ir.actions.act_window,488",,,,,,
base.ir_cron_act,menu,Scheduled Actions,base.menu_ir_cron_act,"ir.actions.act_window,14",,,,,,
base.action_ui_view,menu,Views,base.menu_action_ui_view,"ir.actions.act_window,30",,,,,,
resource.action_resource_calendar_leave_tree,menu,Resource Time Off,resource.menu_view_resource_calendar_leaves_search,"ir.actions.act_window,94",,,,,,
mail.mail_message_schedule_action,menu,Scheduled Messages,mail.mail_message_schedule_menu,"ir.actions.act_window,109",,,,,,
sms.sms_template_action,menu,SMS Templates,sms.sms_template_menu,"ir.actions.act_window,201",,,,,,
account.action_move_out_refund_type,menu,Credit Notes,account.menu_action_move_out_refund_type,"ir.actions.act_window,249",,,,,,
account.action_move_in_refund_type,menu,Refunds,account.menu_action_move_in_refund_type,"ir.actions.act_window,251",,,,,,
account.action_tax_form,menu,Taxes,account.menu_action_tax_form,"ir.actions.act_window,265",,,,,,
project.action_view_all_task,menu,All Tasks,project.menu_project_management_all_tasks,"ir.actions.act_window,312",,,,,,
product.product_category_action_form,menu,Product Categories,stock.menu_product_category_config_stock,"ir.actions.act_window,172",,,,,,
base.ir_cron_trigger_action,menu,Scheduled Actions Triggers,base.ir_cron_trigger_menu,"ir.actions.act_window,15",,,,,,
base.action_rule,menu,Record Rules,base.menu_action_rule,"ir.actions.act_window,27",,,,,,
base.action_ui_view_custom,menu,Customized Views,base.menu_action_ui_view_custom,"ir.actions.act_window,32",,,,,,
base.action_res_groups,menu,Groups,base.menu_action_res_groups,"ir.actions.act_window,68",,,,,,
resource.action_resource_resource_tree,menu,Resources,resource.menu_resource_resource,"ir.actions.act_window,92",,,,,,
phone_validation.phone_blacklist_action,menu,Phone Blacklist,phone_validation.phone_blacklist_menu,"ir.actions.act_window,155",,,,,,
account.action_incoterms_tree,menu,Incoterms,account.menu_action_incoterm_open,"ir.actions.act_window,286",,,,,,
account.action_account_journal_form,menu,Journals,account.menu_action_account_journal_form,"ir.actions.act_window,260",,,,,,
product.product_category_action_form,menu,Product Categories,account.menu_product_product_categories,"ir.actions.act_window,172",,,,,,
product.product_category_action_form,menu,Product Categories,purchase.menu_product_category_config_purchase,"ir.actions.act_window,172",,,,,,
mail.action_view_message_subtype,menu,Subtypes,mail.menu_message_subtype,"ir.actions.act_window,105",,,,,,
base.action_currency_form,menu,Currencies,account.menu_action_currency_form,"ir.actions.act_window,66",,,,,,
base.actions_ir_filters_view,menu,User-defined Filters,base.menu_ir_filters,"ir.actions.act_window,16",,,,,,
base.open_module_tree,menu,Main Apps,base.menu_module_tree,"ir.actions.act_window,38",,,,,,
web_tour.edit_tour_action,menu,Tours,web_tour.menu_tour_action,"ir.actions.act_window,85",,,,,,
mail.action_view_mail_tracking_value,menu,Tracking Values,mail.menu_mail_tracking_value,"ir.actions.act_window,106",,,,,,
account.action_account_fiscal_position_form,menu,Fiscal Positions,account.menu_action_account_fiscal_position_form,"ir.actions.act_window,280",,,,,,
project.open_view_project_all_config_group_stage,menu,Projects,project.menu_projects_config_group_stage,"ir.actions.act_window,305",,,,,,
project.open_view_project_all_config,menu,Projects,project.menu_projects_config,"ir.actions.act_window,304",,,,,,
uom.product_uom_categ_form_action,menu,UoM Categories,stock.menu_stock_uom_categ_form_action,"ir.actions.act_window,88",,,,,,
stock.action_picking_type_list,menu,Operations Types,stock.menu_pickingtype,"ir.actions.act_window,395",,,,,,
stock.action_product_stock_view,menu,Stock,stock.menu_product_stock,"ir.actions.act_window,399",,,,,,
smart_construction_core.action_project_dashboard,menu,项目驾驶舱,smart_construction_core.menu_sc_project_dashboard,"ir.actions.act_window,474",,,,,,
smart_construction_core.action_construction_contract_income,menu,收入合同,smart_construction_core.menu_sc_contract_income,"ir.actions.act_window,476",,,,,,
smart_construction_core.action_project_dictionary,menu,全部字典,smart_construction_core.menu_sc_dictionary_all,"ir.actions.act_window,489",,,,,,
purchase.purchase_form_action,menu,Purchase Orders,purchase.menu_purchase_form_action,"ir.actions.act_window,430",,,,,,
account.action_account_journal_group_list,menu,Journal Groups,account.menu_action_account_journal_group_list,"ir.actions.act_window,261",,,,,,
project.project_project_stage_configure,menu,Project Stages,project.menu_project_config_project_stage,"ir.actions.act_window,293",,,,,,
base.action_decimal_precision_form,menu,Decimal Accuracy,base.menu_decimal_precision_form,"ir.actions.act_window,4",,,,,,
base.ir_sequence_actions,menu,Actions,base.menu_ir_sequence_actions,"ir.actions.act_window,5",,,,,,
base.ir_action_report,menu,Reports,base.menu_ir_action_report,"ir.actions.act_window,6",,,,,,
