surface_id,role,navigation_path,title,route,menu_xmlid,action_xmlid,model,page_type,actual_component,reachable,load_result,write_capable,screenshot,notes
"FE-AUD-demo_role_finance-1","demo_role_finance","系统菜单 / 施工管理 / 计划进度 / 计划管理","业务动作 - 智能施工企业管理平台","/a/725?menu_id=567","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-001.png",""
"FE-AUD-demo_role_finance-2","demo_role_finance","系统菜单 / 施工管理 / 计划进度 / 计划汇报","业务动作 - 智能施工企业管理平台","/a/726?menu_id=568","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-002.png",""
"FE-AUD-demo_role_finance-3","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 收款申请","业务动作 - 智能施工企业管理平台","/a/746?menu_id=385","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-003.png",""
"FE-AUD-demo_role_finance-4","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 收款登记","业务动作 - 智能施工企业管理平台","/a/699?menu_id=368","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-004.png",""
"FE-AUD-demo_role_finance-5","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 收入","业务动作 - 智能施工企业管理平台","/a/873?menu_id=591","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-005.png",""
"FE-AUD-demo_role_finance-6","demo_role_finance","系统菜单 / 财务中心 / 收款管理 / 工程进度款收入登记","业务动作 - 智能施工企业管理平台","/a/874?menu_id=592","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-006.png",""
"FE-AUD-demo_role_finance-7","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 借款申请","业务动作 - 智能施工企业管理平台","/a/870?menu_id=595","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-007.png",""
"FE-AUD-demo_role_finance-8","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 还款登记","业务动作 - 智能施工企业管理平台","/a/862?menu_id=596","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-008.png",""
"FE-AUD-demo_role_finance-9","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 承包人还项目款","业务动作 - 智能施工企业管理平台","/a/863?menu_id=598","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-009.png",""
"FE-AUD-demo_role_finance-10","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 承包人借项目款","业务动作 - 智能施工企业管理平台","/a/871?menu_id=599","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-010.png",""
"FE-AUD-demo_role_finance-11","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 项目借公司款登记","业务动作 - 智能施工企业管理平台","/a/872?menu_id=600","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-011.png",""
"FE-AUD-demo_role_finance-12","demo_role_finance","系统菜单 / 财务中心 / 借还款 / 项目还公司款登记","业务动作 - 智能施工企业管理平台","/a/864?menu_id=601","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-012.png",""
"FE-AUD-demo_role_finance-13","demo_role_finance","系统菜单 / 财务中心 / 账户资金 / 资金对账","业务动作 - 智能施工企业管理平台","/a/698?menu_id=367","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-013.png",""
"FE-AUD-demo_role_finance-14","demo_role_finance","系统菜单 / 财务中心 / 账户资金 / 资金日报表","业务动作 - 智能施工企业管理平台","/a/881?menu_id=620","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-014.png",""
"FE-AUD-demo_role_finance-15","demo_role_finance","系统菜单 / 财务中心 / 账户资金 / 账户间资金往来","业务动作 - 智能施工企业管理平台","/a/879?menu_id=616","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-015.png",""
"FE-AUD-demo_role_finance-16","demo_role_finance","系统菜单 / 财务中心 / 付款管理 / 实付登记","业务动作 - 智能施工企业管理平台","/a/910?menu_id=369","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-016.png",""
"FE-AUD-demo_role_finance-17","demo_role_finance","系统菜单 / 财务中心 / 付款管理 / 公司财务支出","业务动作 - 智能施工企业管理平台","/a/875?menu_id=593","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-017.png",""
"FE-AUD-demo_role_finance-18","demo_role_finance","系统菜单 / 财务中心 / 付款管理 / 支付申请","业务动作 - 智能施工企业管理平台","/a/876?menu_id=606","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-018.png",""
